date,owl,channel
2023-05-30,40,1
2023-05-30,40,10
2023-05-30,40,12
2023-05-30,40,13
2023-05-30,40,14
2023-05-30,40,15
2023-05-30,40,16
2023-05-30,40,2
2023-05-30,40,3
2023-05-30,40,4
2023-05-30,40,5
2023-05-30,40,7
2023-05-30,40,8
2023-05-30,256,6
2023-06-01,33,5
2023-06-01,33,6
2023-06-01,33,7
2023-06-01,33,8
2023-06-01,40,1
2023-06-01,40,10
2023-06-01,40,12
2023-06-01,40,13
2023-06-01,40,15
2023-06-01,40,16
2023-06-01,40,8
2023-06-01,40,9
2023-06-01,256,6
2023-06-01,256,7
2023-06-01,256,8
2023-06-02,33,5
2023-06-02,33,6
2023-06-02,33,7
2023-06-02,33,8
2023-06-02,256,6
2023-06-02,256,7
2023-06-02,256,8
2023-06-03,33,5
2023-06-03,33,6
2023-06-03,33,7
2023-06-03,33,8
2023-06-03,40,1
2023-06-03,40,10
2023-06-03,40,12
2023-06-03,40,13
2023-06-03,40,14
2023-06-03,40,15
2023-06-03,40,16
2023-06-03,40,2
2023-06-03,40,3
2023-06-03,40,4
2023-06-03,40,5
2023-06-03,40,6
2023-06-03,40,7
2023-06-03,40,8
2023-06-03,40,9
2023-06-03,256,6
2023-06-03,256,7
2023-06-03,256,8
2023-06-04,33,5
2023-06-04,33,6
2023-06-04,33,7
2023-06-04,33,8
2023-06-04,40,1
2023-06-04,40,10
2023-06-04,40,12
2023-06-04,40,13
2023-06-04,40,15
2023-06-04,40,16
2023-06-04,40,2
2023-06-04,40,3
2023-06-04,40,4
2023-06-04,40,5
2023-06-04,40,6
2023-06-04,40,7
2023-06-04,40,8
2023-06-04,40,9
2023-06-04,256,6
2023-06-04,256,7
2023-06-04,256,8
2023-06-05,33,5
2023-06-05,33,7
2023-06-05,33,8
2023-06-05,40,13
2023-06-05,40,15
2023-06-05,40,4
2023-06-05,40,8
2023-06-05,256,6
2023-06-05,256,7
2023-06-05,256,8
